descricao
MICROPIPETA
COMPENSADO MADEIRA
SACO
IODOPOVIDONA (PVPI)
ÁCIDO VALPRÓICO
DIVALPROATO DE SÓDIO
"""ARROZ"""
ERVAS
LIVRO GEOGRAFIA/BIOGRAFIA/HISTÓRIA
VASSOURA
DESODORIZADOR SANITÁRIO
SABÃO PÓ
SABONETE
"""ENVELOPE"""
LÁPIS PRETO
BASE MICROFONE
RIPA
BATENTE PORTA
CAIXA CORRESPONDÊNCIA
APONTADOR LÁPIS
GRELHA
TALHADEIRA
DUCHA BANHO
CHAVE CANHÃO TUBULAR
CONEXÃO METÁLICA
ADAPTADOR
CRONÔMETRO
MANUTENCAO / REFORMA PREDIAL
CALDA DOCE PARA RECHEIO / COBERTURA
MANGOTE
"""PAPEL"""
PAPEL OPALINE
INSTALACAO E MONTAGEM DE ISOLAMENTO ACUSTICO
FLANELA
EMBALAGEM PLÁSTICA
INSTRUMENTO MUSICAL
FLANGE
MELADO
COGUMELO EM CONSERVA
EXTRATO ALIMENTÍCIO
VEDA PORTA
TELHA AMIANTO
"SERVICOS DE INSTALACAO, TRANSICAO E CONFIGURACAO / PARAMETRIZACAO DE SOFTWARE"
PORTA-RETRATO
MALA PARA ROUPA
DISTINTIVO USO PESSOAL
DISCO MAGNÉTICO
RAQUETE  ESPORTIVA
CAPACITOR DE POTENCIA - TENSAO NOMINAL ATE 440 V
SACOLA DE MATERIAL ESPORTIVO
VINORELBINA
FORNO ELÉTRICO
FRALDA DESCARTÁVEL
HASTE FLEXÍVEL
TERMÔMETRO CLÍNICO
REATOR LÂMPADA FLUORESCENTE
ENXADÃO
CANOPLA
CINTURÃO SEGURANÇA
ISONIAZIDA
CLOREXIDINA DIGLICONATO
PASTA ABRASIVA
ÁCIDO FOSFÓRICO
FORMOCRESOL USO ODONTOLÓGICO
REAGENTE PARA DIAGNÓSTICO CLÍNICO 2
LIMPADOR DE CHAPA DE IMPRESSAO GRAFICA
LEFLUNOMIDA
BANDEIRA INSTITUCIONAL
ASPIRADOR ULTRASSÔNICO
AIPIM IN NATURA
ESFIGMOMANÔMETRO
PNEU TRATOR RODAS TRAÇÃO
MULTIPROCESSADOR ALIMENTOS
SACOLA
DISCO ABRASIVO
BRÁQUETE
TUBO ENDOTRAQUEAL
"""PAPEL PLOTER"""
CABO FERRAMENTA
LINHA PEDREIRO
DENTE ARTIFICIAL
BALCÃO ATENDIMENTO
LENHA
CONJUNTO DE CORRENTE
CABO BATERIA RECARREGÁVEL AUTOMOTIVA
CABO ROLO DE PINTURA
JAQUETA FEMININA
AUTOMÁTICO SETA DE VEÍCULO
BETONEIRA
GUARDA-SOL
CABO ELÉTRICO NÚ COBRE
ARMAÇÃO DE ÓCULOS
APAGADOR QUADRO MAGNÉTICO
PILOCARPINA CLORIDRATO
LIMPEZA DE EQUIPAMENTOS E TUBULACOES POR HIDROJATEAMENTO
BOLSA FERRAMENTA
CONECTOR / CABO ( FLAT CABLE ) - MICROCOMPUTADOR
CONVERSOR
EPIRRUBICINA CLORIDRATO
BOMBA INFUSÃO PORTÁTIL
CLORAMBUCILA
ACUMULADOR TENSÃO
CONSERVACAO / MANUTENCAO / RESTAURACAO DE RODOVIA
PONTEIRA LABORATÓRIO
MALETA ARQUIVO
